Branch,Username,Date,Review
네이버플레이스,uhmjiya,5.19.일,"한가로운 여유를 즐기기 좋은 폴바셋 국회대로점입니다. 주말엔 사람도 많지 않아요. 주차는 근처 빈 곳에 해도 큰 문제없는 것 같고요.

나타와 룽고는 늘 맛있어요^^"
네이버플레이스,진초,6.4.화,메로나맛 나요ㅋㅋㅋ맛있지만 받자마자 이미 좀 녹아있어서 아쉬워요. 친절하고 가까워서 좋습니당
네이버플레이스,대방동영덕게,6.2.일,"일요일 8시까지입니당
말차도 맛있고 멜론 아스쿠림 맛나요"
네이버플레이스,H 25,5.18.토,폴바셋 여의도 국회대로점 좋아요^^
네이버플레이스,피노키오151,2.17.토,매장도 넓어서 커피마시기 좋은장소입니다. 커피도 맛이있지만 카페라테는 더욱 부드럽고 맛이좋습니다. 맛있게 잘먹었어요
네이버플레이스,나야나8691,5.30.목,"분위기 좋고 깔끔한 카페..
커피 맛도 좋고
음료 맛이 좋다."
네이버플레이스,안냥맹,3.16.토,"토요일에 갔더니 여유롭고 좋았어요
매장도 넓고 깨끗하고 직원분도 친절하셔요.
"
네이버플레이스,내보물쭈니,3.16.토,날이 따듯해져서 아이스음료로 충전했네요!다크초코라떼가 달달하고 초코가 진해서 맛있었어요 :)
네이버플레이스,옥수수하모니ㅋr,5.4.토,넘 맛있고 직원분들이 친절하세오
네이버플레이스,원더우먼5642,3.24.일,"넘 맛나요.
굿~~^^"
